State,City,Place,Distance,Place_desc,Distance_km
himachal pradesh,manali,capture the sceneries of old manali, 2 km  from city center ,"on the other side of the manalsu river is a part of manali, time left behind. with a sweet scent of an old world charm, interspersed with guesthouses and an increasing presence of tourism and hints of the present that it brings along, old manali is a tiny shift in the world and its rush, one must experience while here.",2.0
himachal pradesh,manali,engage in the adventures of solang valley, 8 km  from city center ,"solang valley is one of the most popular tourist destinations in himachal pradesh. it is popular for adventure sports. during winters, solang valley is covered with snow making skiing is a popular sport here. there are training institutes and trainers located to supervise skiers and train beginners.",8.0
himachal pradesh,manali,jogini waterfall, 4 km  from city center ,jogini waterfall is located about 3 kilometres away from the bustling town of manali and around 2 kilometres away from vashisht temple. tourists have to trek ahead from the temple to reach jogini waterfall.,4.0
himachal pradesh,manali,hadimba temple, 1 km  from city center ,"hadimba temple, away from the hustle and bustle of city life,  is a peaceful place surrounded by towering deodar trees. the temple is dedicated to hidimba, the wife of bhima, one of the five pandava prince from the great indian epic mahabharata. the main attraction of the temple is the three day hidimba devi festival, which attracts devotees from all over the world and features colourful folk dance performances.",1.0
himachal pradesh,manali,rohtang pass, 16 km  from city center ,"rohtang pass is the stretch which connects manali to himachal's more dreamy and dessert-like landscapes, spiti and lahaul. this vast snow desert is a landscape like only a few other and a view one should not miss. popular adventure sports here are sledge ride, mountain biking, and skiing. many blockbusters ranging from 'jab we met' to 'yeh jawani hai deewani' have been shot here.",16.0
himachal pradesh,manali,parvati valley, 16 km  from city center ,"parvati valley is famous for the backpacker hangouts, and adventure activities. it is also a popular amongst hippie travellers for its famous charas (hashish), rave parties, and spiritual experience. kasol, malana, tosh, kalga, pulga, rasol, kheerganga and chalal are some of the vilages located in parvati valley.",16.0
himachal pradesh,manali,sethan valley, 3 km  from city center ,"sethan is a quaint village in himachal pradesh, approximately 12 km from manali. this buddhist village is a tiny hamlet that oversees the dhauladhar range. covered in snow during winters, sethan valley is a great place to try out skiing and snowboarding.",3.0
himachal pradesh,manali,gulp some maggi by the jana waterfall, 11 km  from city center ,jana waterfall is a 30 feet high watefall located near manali in a quaint village called jana. one has to trek to the waterfall through dense deodar and pine trees amidst snow-capped mountains. the climb is easier compared to many others in the region and can be completed by beginner level hikers too.  there's a wooden bridge laid perpendicular to the direction of jana falls which trekkers use to walk across. there is seating arrangement near the waterfall.,11.0
himachal pradesh,manali,arjun gufa, 0 km  from city center ,arjun gufa is considered to be a legendary natural formation in manali. the cave is a favourite picnic spot and is also famous for the adventure of exploring the creation from inside. the climb up to the cave is exciting in itself with the surrounding natural landscape so beautiful it cannot be explained in words.,0.0
himachal pradesh,manali,peek into the history of manu temple, 2 km  from city center ,"manu temple is said to be the only temple of manu in india, who is believed to be the creator of human race. this pagoda style of structure offers quite a glimpse into history, spirituality as well as a fascinating style of architecture.",2.0
